geometry,ID,Country,X,Y,Casos,casos_10000hab,Orden
"{""type"":""Point"",""coordinates"":[14.084800835943103,64.44816986065427]}",,Noruega,11,64,8855,"154,8",125
"{""type"":""Point"",""coordinates"":[171.7798995748442,-41.8388738670396]}",,Nueva Zelanda,172,-42,1528,30,126
"{""type"":""Point"",""coordinates"":[56.10983961197823,20.602286437322633]}",,Omán,56,21,38150,"136,6",127
"{""type"":""Point"",""coordinates"":[5.609467664579913,52.24413715656864]}",,Países Bajos,6,52,50355,257,128
"{""type"":""Point"",""coordinates"":[69.38596582834609,29.96702229835339]}",,Pakistán,69,30,206512,"22,9",129
"{""type"":""Point"",""coordinates"":[-80.10266269539807,8.507187202739217]}",,Panamá,-80,9,31686,"239,8",130
"{""type"":""Point"",""coordinates"":[145.24121730528248,-6.478766820891622]}",,Papúa Nueva Guinea,145,-6,11,"0,1",131
"{""type"":""Point"",""coordinates"":[-58.39102409284375,-23.236210536329928]}",,Paraguay,-58,-23,2127,"11,5",132
"{""type"":""Point"",""coordinates"":[-74.37562757947123,-9.163760634722234]}",,Perú,-74,-9,279419,"338,5",133
"{""type"":""Point"",""coordinates"":[19.400884072202984,52.12461005693247]}",,Polonia,19,52,33907,"52,5",134
"{""type"":""Point"",""coordinates"":[-8.56274112345667,39.600988445003075]}",,Portugal,-9,40,41646,"291,1",135
Point,,Qatar,51.061031,25.150521,94413,"1382,6",136
"{""type"":""Point"",""coordinates"":[-2.895583945777795,54.155349817610386]}",,Reino Unido,-3,54,312640,"377,6",137
"{""type"":""Point"",""coordinates"":[20.482966878858175,6.571232170996312]}",,República Centroafricana,20,7,3429,"7,9",138
"{""type"":""Point"",""coordinates"":[15.338412303737503,49.7428591464635]}",,Chequia,15,50,11603,"81,9",139
"{""type"":""Point"",""coordinates"":[23.655005705422678,-2.876234744977859]}",,República Democrática del Congo,24,-3,6827,2,140
"{""type"":""Point"",""coordinates"":[-70.48463497611448,18.894446738425692]}",,República Dominicana,-70,19,31373,"131,8",141
"{""type"":""Point"",""coordinates"":[29.917652223543424,-1.997891013273424]}",,Ruanda,30,-2,900,"2,6",142
"{""type"":""Point"",""coordinates"":[24.96925833063381,45.84361469616024]}",,Rumania,25,46,26313,"90,6",143
"{""type"":""Point"",""coordinates"":[96.57732548766319,61.94626638172028]}",,Federación Rusa,97,62,633563,"216,4",144
Point,,Sáhara Occidental,"-13,316787","25,663999",10,1,145
"{""type"":""Point"",""coordinates"":[-62.75351723505877,17.32618821115123]}",,San Cristóbal y Nieves,-63,17,15,"28,4",146
"{""type"":""Point"",""coordinates"":[12.4609779665619,43.94294517735274]}",,San Marino,12,44,698,"1961,1",147
"{""type"":""Point"",""coordinates"":[-61.19376635439307,13.254808122970623]}",,San Vicente y las Granadinas,-61,13,29,"16,3",148
"{""type"":""Point"",""coordinates"":[-60.96871303255323,13.89786596753026]}",,Santa Lucía,-61,14,19,"10,1",149
Point,,Santa Sede,"12,45386","41,903311",12,"1454,5",150
"{""type"":""Point"",""coordinates"":[6.736588341942882,0.456985986069108]}",,Santo Tomé y Príncipe,7,0,713,"119,4",151
"{""type"":""Point"",""coordinates"":[-14.467652757376374,14.366965417513855]}",,Senegal,-14,14,6586,"16,8",152
"{""type"":""Point"",""coordinates"":[20.795506986342343,44.225448568496745]}",,Serbia,21,44,14046,"156,8",153
"{""type"":""Point"",""coordinates"":[52.229933766848866,-6.354350873615784]}",,Seychelles,52,-6,70,"11,2",154
"{""type"":""Point"",""coordinates"":[-11.791921366057544,8.560284604298989]}",,Sierra Leona,-12,9,1427,"7,4",155
"{""type"":""Point"",""coordinates"":[103.80805122075108,1.351616432526606]}",,Singapur,"103,754941","1,347621",43459,"522,7",156
"{""type"":""Point"",""coordinates"":[38.505131035310335,35.013133521778]}",,Siria,39,35,256,"0,3",157
"{""type"":""Point"",""coordinates"":[45.86259002820332,6.063723234719509]}",,Somalia,46,6,2894,10,158
"{""type"":""Point"",""coordinates"":[80.7047272715824,7.608085677599061]}",,Sri Lanka,81,8,2037,"4,8",159
"{""type"":""Point"",""coordinates"":[25.092539112420248,-28.998530366345364]}",,Sudáfrica,25,-29,138134,"32,6",160
"{""type"":""Point"",""coordinates"":[29.96052222675939,15.999644525479496]}",,Sudán,30,16,9257,"7,4",161
"{""type"":""Point"",""coordinates"":[30.320241356367653,7.278667677434789]}",,Sudán del Sur,30,7,1989,"3,8",162
"{""type"":""Point"",""coordinates"":[16.739754365962536,62.78989676035491]}",,Suecia,17,63,65137,311,163
"{""type"":""Point"",""coordinates"":[8.234392932317068,46.80249568453197]}",,Suiza,8,47,31617,"356,7",164
"{""type"":""Point"",""coordinates"":[-55.911826565351085,4.126394149422496]}",,Surinam,-56,4,490,"1,9",165
"{""type"":""Point"",""coordinates"":[31.497529647971298,-26.562641631640137]}",,Swazilandia,31,-27,781,"20,1",166
"{""type"":""Point"",""coordinates"":[101.01736109564791,15.127035739885248]}",,Tailandia,101,15,3169,"4,6",167
"{""type"":""Point"",""coordinates"":[120.96183004532826,23.751055104487797]}",,Taiwán,121,24,447,"1,9",168
"{""type"":""Point"",""coordinates"":[34.82345387116092,-6.27035357048587]}",,Tanzania,35,-6,509,"0,9",169
"{""type"":""Point"",""coordinates"":[71.04200336177333,38.52817783288731]}",,Tayikistán,71,39,5849,"25,7",169.1
Point,,Territorios Palestinos,"35,295878","32,048026",2087,"8,5",170
"{""type"":""Point"",""coordinates"":[125.85367089946348,-8.822978612076868]}",,Timor-Leste,126,-9,24,"1,7",171
"{""type"":""Point"",""coordinates"":[0.975721054214398,8.534960860915767]}",,Togo,1,9,642,"4,7",172
"{""type"":""Point"",""coordinates"":[-61.25317222707392,10.468644571432034]}",,Trinidad y Tobago,-61,10,126,"8,5",173
"{""type"":""Point"",""coordinates"":[9.561335945147702,34.11086000640232]}",,Túnez,10,34,1169,"8,9",174
"{""type"":""Point"",""coordinates"":[35.17967234285679,39.060595889508136]}",,Turquía,35,39,197239,"184,7",175
"{""type"":""Point"",""coordinates"":[31.387114789136085,49.01708827777692]}",,Ucrania,31,49,44502,"48,2",176
"{""type"":""Point"",""coordinates"":[32.38621794141464,1.279963849933248]}",,Uganda,32,1,859,"0,4",177
"{""type"":""Point"",""coordinates"":[-56.01239641682728,-32.799645463737164]}",,Uruguay,-56,-33,929,"21,3",178
"{""type"":""Point"",""coordinates"":[63.16937232144635,41.750436626602486]}",,Uzbekistán,63,42,8031,"8,8",179
"{""type"":""Point"",""coordinates"":[-66.16956377948203,7.122448743259477]}",,Venezuela,-66,7,5297,"2,7",180
"{""type"":""Point"",""coordinates"":[106.30147371191802,16.65925743873615]}",,Vietnam,108,13,355,"0,3",181
"{""type"":""Point"",""coordinates"":[47.599967160269,15.905618569979987]}",,Yemen,48,16,1118,"0,7",182
"{""type"":""Point"",""coordinates"":[42.5777651284129,11.749676373916165]}",,Djibouti,43,12,4643,"189,8",183
"{""type"":""Point"",""coordinates"":[27.79824967340498,-13.453018168698833]}",,Zambia,28,-13,1557,"4,8",184
"{""type"":""Point"",""coordinates"":[29.871837765910303,-19.00009782758564]}",,Zimbabue,30,-19,567,"0,3",185
"{""type"":""Point"",""coordinates"":[-61.53674733540831,16.20346113875425]}",,Guadalupe,-62,16,,,
"{""type"":""Point"",""coordinates"":[-53.241223631384116,3.924688418887644]}",,Guayana Francesa,-53,4,,,
"{""type"":""Point"",""coordinates"":[-61.02128782114722,14.65254732778933]}",,Martinica,-61,15,,,
"{""type"":""Point"",""coordinates"":[45.138700111189024,-12.81871189031666]}",,Mayotte,45,-13,,,
"{""type"":""Point"",""coordinates"":[55.53818064966126,-21.121661532519223]}",,Reunión,56,-21,,,
